"uid","time","stale_time","source_uid","object_uid","event_point","raw_event"
"5fc4f112-f9f9-4d78-ad4c-e270891ea4cd",2025-07-10 06:56:06.930,2025-07-10 06:56:18.733,vorpal-service,"0_531",POINT (35.375938 30.929455),"{""how"": null, ""uid"": ""4981baf3-4c79-4623-8cf9-184425caa274"", ""time"": ""2025-07-10T06:56:06.930316Z"", ""type"": ""target"", ""point"": {""ce"": 110.277786, ""le"": null, ""hae"": null, ""lat"": 30.929455, ""lon"": 35.375938}, ""stale"": ""2025-07-10T06:56:18.733608Z"", ""start"": ""2025-07-10T06:56:08.733604Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2439.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 14.850121, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"72f9b572-1c6d-4f38-8919-8b8c415e21f6",2025-07-10 06:56:06.930,2025-07-10 06:56:18.733,vorpal-service,"0_531",POINT (35.375938 30.929455),"{""how"": null, ""uid"": ""5fc35618-2971-41bc-9856-56a4aaf0b76c"", ""time"": ""2025-07-10T06:56:06.930316Z"", ""type"": ""target"", ""point"": {""ce"": 110.277786, ""le"": null, ""hae"": null, ""lat"": 30.929455, ""lon"": 35.375938}, ""stale"": ""2025-07-10T06:56:18.733608Z"", ""start"": ""2025-07-10T06:56:08.733604Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2439.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 14.850121, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
f0bc6713-dc9c-4ce3-931b-adafbbd48768,2025-07-10 06:56:06.930,2025-07-10 06:56:18.733,vorpal-service,"0_531",POINT (35.375938 30.929455),"{""how"": null, ""uid"": ""157dee91-d9d8-419c-b807-4186aee1f793"", ""time"": ""2025-07-10T06:56:06.930316Z"", ""type"": ""target"", ""point"": {""ce"": 110.277786, ""le"": null, ""hae"": null, ""lat"": 30.929455, ""lon"": 35.375938}, ""stale"": ""2025-07-10T06:56:18.733608Z"", ""start"": ""2025-07-10T06:56:08.733604Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2439.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 14.850121, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"31012430-1d12-4956-a09a-bdfe46361cb7",2025-07-10 06:56:10.890,2025-07-10 06:56:22.788,vorpal-service,"0_531",POINT (35.376526 30.929424),"{""how"": null, ""uid"": ""c0fa35ae-b1df-47f6-88ad-d59d83603f5c"", ""time"": ""2025-07-10T06:56:10.890315Z"", ""type"": ""target"", ""point"": {""ce"": 33.326973, ""le"": null, ""hae"": null, ""lat"": 30.929424, ""lon"": 35.376526}, ""stale"": ""2025-07-10T06:56:22.788448Z"", ""start"": ""2025-07-10T06:56:12.788443Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2420.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 31.407734, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"17038a07-e20c-4542-98fc-a7d5a724e537",2025-07-10 06:56:10.890,2025-07-10 06:56:22.788,vorpal-service,"0_531",POINT (35.376526 30.929424),"{""how"": null, ""uid"": ""c98fd34f-0907-4372-835f-975f2b40c626"", ""time"": ""2025-07-10T06:56:10.890315Z"", ""type"": ""target"", ""point"": {""ce"": 33.326973, ""le"": null, ""hae"": null, ""lat"": 30.929424, ""lon"": 35.376526}, ""stale"": ""2025-07-10T06:56:22.788448Z"", ""start"": ""2025-07-10T06:56:12.788443Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2420.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 31.407734, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"51456305-ab80-46d2-b1a1-3f936485b7e7",2025-07-10 06:56:10.890,2025-07-10 06:56:22.788,vorpal-service,"0_531",POINT (35.376526 30.929424),"{""how"": null, ""uid"": ""23c19bcd-8e45-4cc3-b8fd-2bbbc469ef4e"", ""time"": ""2025-07-10T06:56:10.890315Z"", ""type"": ""target"", ""point"": {""ce"": 33.326973, ""le"": null, ""hae"": null, ""lat"": 30.929424, ""lon"": 35.376526}, ""stale"": ""2025-07-10T06:56:22.788448Z"", ""start"": ""2025-07-10T06:56:12.788443Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2420.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 31.407734, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
d467ec99-830f-4f64-ad9f-14dca7ace2a8,2025-07-10 06:56:15.410,2025-07-10 06:56:30.550,vorpal-service,"0_531",POINT (35.376736 30.929546),"{""how"": null, ""uid"": ""aa496aa1-255f-4eaa-86ef-454a827015a2"", ""time"": ""2025-07-10T06:56:15.410316Z"", ""type"": ""target"", ""point"": {""ce"": 22.489077, ""le"": null, ""hae"": null, ""lat"": 30.929546, ""lon"": 35.376736}, ""stale"": ""2025-07-10T06:56:30.550018Z"", ""start"": ""2025-07-10T06:56:20.550014Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2420.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 35.428452, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"416a7d59-b6f9-4d25-9716-10e3e89e0bd4",2025-07-10 06:56:15.410,2025-07-10 06:56:30.550,vorpal-service,"0_531",POINT (35.376736 30.929546),"{""how"": null, ""uid"": ""2b55dbd2-859a-4dc1-beb1-fb8587aaa71f"", ""time"": ""2025-07-10T06:56:15.410316Z"", ""type"": ""target"", ""point"": {""ce"": 22.489077, ""le"": null, ""hae"": null, ""lat"": 30.929546, ""lon"": 35.376736}, ""stale"": ""2025-07-10T06:56:30.550018Z"", ""start"": ""2025-07-10T06:56:20.550014Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2420.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 35.428452, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
"72cd4dc7-f1a6-45e6-acd9-9f4b6d54334c",2025-07-10 06:56:15.410,2025-07-10 06:56:30.550,vorpal-service,"0_531",POINT (35.376736 30.929546),"{""how"": null, ""uid"": ""9f7022ff-ceae-478e-8e9f-bbd0ca1a13f5"", ""time"": ""2025-07-10T06:56:15.410316Z"", ""type"": ""target"", ""point"": {""ce"": 22.489077, ""le"": null, ""hae"": null, ""lat"": 30.929546, ""lon"": 35.376736}, ""stale"": ""2025-07-10T06:56:30.550018Z"", ""start"": ""2025-07-10T06:56:20.550014Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2420.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 35.428452, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
e23901b4-c303-4997-9fc9-3987f2be8877,2025-07-10 06:56:16.530,2025-07-10 06:56:37.237,vorpal-service,"0_531",POINT (35.376705 30.929487),"{""how"": null, ""uid"": ""cdca0f16-3c57-4ac0-90c2-cadb0f8adc5b"", ""time"": ""2025-07-10T06:56:16.530340Z"", ""type"": ""target"", ""point"": {""ce"": 29.811886, ""le"": null, ""hae"": null, ""lat"": 30.929487, ""lon"": 35.376705}, ""stale"": ""2025-07-10T06:56:37.237569Z"", ""start"": ""2025-07-10T06:56:27.237564Z"", ""version"": ""0.0.1"", ""object_uid"": ""0_531"", ""source_uid"": ""vorpal-service"", ""description"": ""drone detection of DJI O3 20MHz on 2451.500000 MHz at the 2.4GHz band"", ""current_view_poly"": null, ""spatial_orientation"": {""spin"": null, ""attitude"": {""yaw"": 236.789215, ""roll"": null, ""pitch"": null}}, ""current_view_sensor_info"": null}"
